,Timestamp,Motion_detection
430,2024-10-26 16:29:27,1
431,2024-10-26 16:30:40,0
432,2024-10-26 16:31:43,1
433,2024-10-26 16:32:55,0
434,2024-10-27 11:02:35,1
435,2024-10-27 11:03:49,0
436,2024-10-27 12:34:03,1
437,2024-10-27 12:35:16,0
438,2024-10-27 17:37:49,1
439,2024-10-27 17:39:01,0
440,2024-10-29 09:16:43,1
441,2024-10-29 09:17:55,0
442,2024-10-29 09:26:46,1
443,2024-10-29 09:27:58,0
444,2024-10-29 10:02:47,1
445,2024-10-29 10:04:00,0
446,2024-10-29 10:05:30,1
447,2024-10-29 10:11:40,1
448,2024-10-29 10:12:57,0
449,2024-10-29 10:15:16,1
450,2024-10-29 10:16:28,0
451,2024-10-29 10:16:43,1
452,2024-10-29 10:17:55,0
453,2024-10-29 10:18:05,1
454,2024-10-29 10:19:19,0
455,2024-10-29 10:19:25,1
456,2024-10-29 10:20:37,0
457,2024-10-29 10:24:03,1
458,2024-10-29 10:25:16,0
459,2024-10-29 10:30:02,1
460,2024-10-29 10:31:15,0
461,2024-10-29 10:33:00,1
462,2024-10-29 10:34:12,0
463,2024-10-29 10:34:33,1
464,2024-10-29 10:35:45,0
465,2024-10-29 10:35:56,1
466,2024-10-29 10:39:08,0
467,2024-10-29 10:39:14,1
468,2024-10-29 10:41:02,0
469,2024-10-29 10:41:08,1
470,2024-10-29 10:42:20,0
471,2024-10-29 10:42:47,1
472,2024-10-29 10:43:59,0
473,2024-10-29 10:44:32,1
474,2024-10-29 10:45:44,0
475,2024-10-29 10:45:50,1
476,2024-10-29 10:47:03,0
477,2024-10-29 10:47:13,1
478,2024-10-29 10:48:25,0
479,2024-10-29 10:49:13,1
480,2024-10-29 10:50:25,0
481,2024-10-29 10:51:43,1
482,2024-10-29 10:52:55,0
483,2024-10-29 10:53:02,1
484,2024-10-29 10:54:15,0
485,2024-10-29 10:54:22,1
486,2024-10-29 10:55:34,0
487,2024-10-29 10:55:40,1
488,2024-10-29 10:56:53,0
489,2024-10-29 10:56:57,1
490,2024-10-29 10:58:10,0
491,2024-10-29 10:58:28,1
492,2024-10-29 11:00:15,0
493,2024-10-29 11:00:19,1
494,2024-10-29 11:01:33,0
495,2024-10-29 11:01:47,1
496,2024-10-29 11:05:00,0
497,2024-10-29 11:05:53,1
498,2024-10-29 11:07:05,0
499,2024-10-29 11:07:13,1
500,2024-10-29 11:08:32,0
501,2024-10-29 11:11:41,1
502,2024-10-29 11:12:54,0
503,2024-10-29 11:43:18,1
504,2024-10-29 11:45:39,0
505,2024-10-29 11:45:59,1
506,2024-10-29 11:47:11,0
507,2024-10-29 11:58:54,1
508,2024-10-29 12:00:06,0
509,2024-10-29 12:27:22,1
510,2024-10-29 12:28:34,0
511,2024-10-29 12:29:28,1
512,2024-10-29 12:30:41,0
513,2024-10-29 12:40:58,1
514,2024-10-29 12:42:11,0
515,2024-10-29 12:48:20,1
516,2024-10-29 12:51:34,0
517,2024-10-29 12:52:37,1
518,2024-10-29 12:53:49,0
519,2024-10-29 13:08:51,1
520,2024-10-29 13:10:03,0
521,2024-10-29 13:10:12,1
522,2024-10-29 13:12:16,0
523,2024-10-29 13:21:59,1
524,2024-10-29 13:23:12,0
525,2024-10-29 13:23:17,1
526,2024-10-29 13:25:38,0
527,2024-10-29 13:44:52,1
528,2024-10-29 13:46:22,0
529,2024-10-29 13:46:26,1
530,2024-10-29 13:47:38,0
531,2024-10-29 13:47:43,1
532,2024-10-29 13:48:55,0
533,2024-10-29 13:51:44,1
534,2024-10-29 13:52:57,0
535,2024-10-29 14:04:02,1
536,2024-10-29 14:05:14,0
537,2024-10-29 14:07:41,1
538,2024-10-29 14:08:59,0
539,2024-10-29 14:18:30,1
540,2024-10-29 14:19:42,0
541,2024-10-29 14:20:30,1
542,2024-10-29 14:21:42,0
543,2024-10-29 14:47:44,1
544,2024-10-29 14:50:39,0
545,2024-10-29 14:50:51,1
546,2024-10-29 14:52:03,0
547,2024-10-29 15:07:11,1
548,2024-10-29 15:08:23,0
549,2024-10-29 15:08:28,1
550,2024-10-29 15:09:40,0
551,2024-10-29 15:09:44,1
552,2024-10-29 15:11:31,0
553,2024-10-29 15:27:17,1
554,2024-10-29 15:30:12,0
555,2024-10-29 15:30:17,1
556,2024-10-29 15:32:21,0
557,2024-10-29 15:32:33,1
558,2024-10-29 15:34:04,0
559,2024-10-29 15:34:39,1
560,2024-10-29 15:35:55,0
561,2024-10-29 15:36:02,1
562,2024-10-29 15:39:48,0
563,2024-10-29 15:40:10,1
564,2024-10-29 15:42:13,0
565,2024-10-29 15:42:18,1
566,2024-10-29 15:46:21,0
567,2024-10-29 15:46:25,1
568,2024-10-29 15:48:46,0
569,2024-10-29 15:48:54,1
570,2024-10-29 15:56:58,0
571,2024-10-29 15:57:25,1
572,2024-10-29 15:58:40,0
573,2024-10-29 16:33:16,1
574,2024-10-29 16:34:29,0
575,2024-10-29 16:34:37,1
576,2024-10-29 16:35:50,0
577,2024-10-29 16:36:03,1
578,2024-10-29 16:37:15,0
579,2024-10-29 16:39:14,1
580,2024-10-29 16:40:26,0
581,2024-10-29 16:50:53,1
582,2024-10-29 16:52:07,0
583,2024-10-29 21:35:30,1
584,2024-10-29 21:37:18,0
585,2024-10-30 07:21:18,1
586,2024-10-30 07:22:31,0
587,2024-10-30 10:56:01,1
588,2024-10-30 10:57:13,0
589,2024-10-30 11:11:59,1
590,2024-10-30 11:13:11,0
591,2024-10-30 11:13:29,1
592,2024-10-30 11:14:41,0
593,2024-10-30 11:17:06,1
594,2024-10-30 11:18:19,0
595,2024-10-30 11:21:11,1
596,2024-10-30 11:24:06,0
597,2024-10-30 16:48:08,1
598,2024-10-30 16:49:21,0
599,2024-10-31 08:39:40,1
600,2024-10-31 08:40:53,0
601,2024-10-31 08:42:25,1
602,2024-10-31 08:43:37,0
603,2024-10-31 08:46:58,1
604,2024-10-31 08:48:11,0
605,2024-10-31 10:16:06,1
606,2024-10-31 10:17:19,0
607,2024-10-31 10:20:44,1
608,2024-10-31 10:21:56,0
609,2024-10-31 10:22:26,1
610,2024-10-31 10:23:38,0
611,2024-10-31 10:23:43,1
612,2024-10-31 10:24:56,0
613,2024-10-31 10:25:10,1
614,2024-10-31 10:26:23,0
615,2024-10-31 10:26:37,1
616,2024-10-31 10:27:49,0
617,2024-10-31 10:28:27,1
618,2024-10-31 10:29:40,0
619,2024-10-31 10:32:10,1
620,2024-10-31 10:36:15,0
621,2024-10-31 10:36:44,1
622,2024-10-31 10:37:56,0
623,2024-10-31 10:39:15,1
624,2024-10-31 10:40:27,0
625,2024-10-31 10:42:41,1
626,2024-10-31 10:43:53,0
627,2024-10-31 10:58:00,1
628,2024-10-31 11:00:55,0
629,2024-10-31 11:01:12,1
630,2024-10-31 11:02:24,0
631,2024-10-31 11:04:42,1
632,2024-10-31 11:05:55,0
633,2024-10-31 11:06:02,1
634,2024-10-31 11:07:15,0
635,2024-10-31 11:10:12,1
636,2024-10-31 11:11:25,0
637,2024-10-31 11:11:42,1
638,2024-10-31 11:12:54,0
639,2024-10-31 11:13:06,1
640,2024-10-31 11:14:18,0
641,2024-10-31 11:15:29,1
642,2024-10-31 11:17:33,0
