,timestamp,car_no,truck_no,bus_no,motorcycle_no
5503,2024-11-02 04:28:10,1,0,0,0
5504,2024-11-02 04:28:17,1,0,0,0
5505,2024-11-02 04:28:28,1,0,0,0
5506,2024-11-02 04:28:33,1,0,0,0
5507,2024-11-02 04:29:06,1,0,0,0
5508,2024-11-02 04:31:20,1,0,0,0
5509,2024-11-02 04:33:09,1,0,0,0
5510,2024-11-02 04:33:33,1,0,0,0
5511,2024-11-02 04:33:44,1,0,0,0
5512,2024-11-02 04:33:56,1,0,0,0
5513,2024-11-02 04:34:15,1,0,0,0
5514,2024-11-02 04:58:27,1,0,0,0
5515,2024-11-02 05:15:27,1,0,0,0
5516,2024-11-02 05:15:27,1,0,0,0
5517,2024-11-02 05:16:18,1,0,0,0
5518,2024-11-02 05:16:18,1,0,0,0
5519,2024-11-02 05:39:52,1,0,0,0
5520,2024-11-02 05:39:52,1,0,0,0
5521,2024-11-02 06:10:30,1,0,0,0
5522,2024-11-02 06:17:51,1,0,0,0
5523,2024-11-02 06:25:13,1,0,0,0
5524,2024-11-02 06:26:17,1,0,0,0
5525,2024-11-02 06:28:13,1,0,0,0
5526,2024-11-02 06:28:22,1,0,0,0
5527,2024-11-02 06:33:29,1,0,0,0
5528,2024-11-02 06:33:45,1,0,0,0
5529,2024-11-02 06:36:35,1,0,0,0
5530,2024-11-02 06:36:41,1,0,0,0
5531,2024-11-02 06:36:50,1,0,0,0
5532,2024-11-02 06:37:30,1,0,0,0
5533,2024-11-02 06:38:29,1,0,0,0
5534,2024-11-02 06:39:02,1,0,0,0
5535,2024-11-02 06:44:03,1,0,0,0
5536,2024-11-02 06:44:07,1,0,0,0
5537,2024-11-02 06:44:44,1,0,0,0
5538,2024-11-02 06:53:18,1,0,0,0
5539,2024-11-02 06:54:21,1,0,0,0
5540,2024-11-02 07:00:08,1,0,0,0
5541,2024-11-02 07:01:19,0,1,0,0
5542,2024-11-02 07:02:40,0,1,0,0
5543,2024-11-02 07:03:28,1,0,0,0
5544,2024-11-02 07:03:42,1,0,0,0
5545,2024-11-02 07:04:13,1,0,0,0
5546,2024-11-02 07:04:18,0,1,0,0
5547,2024-11-02 07:05:23,1,0,0,0
5548,2024-11-02 07:05:34,0,1,0,0
5549,2024-11-02 07:05:46,0,1,0,0
5550,2024-11-02 07:05:54,0,1,0,0
5551,2024-11-02 07:06:15,0,1,0,0
5552,2024-11-02 07:06:28,0,1,0,0
5553,2024-11-02 07:06:53,0,1,0,0
5554,2024-11-02 07:10:15,0,1,0,0
5555,2024-11-02 07:10:25,0,0,1,0
5556,2024-11-02 07:10:48,0,1,0,0
5557,2024-11-02 07:11:05,0,1,0,0
5558,2024-11-02 07:23:42,0,1,0,0
5559,2024-11-02 07:24:02,0,1,0,0
5560,2024-11-02 07:57:30,0,1,0,0
5561,2024-11-02 08:09:01,0,1,0,0
5562,2024-11-02 08:09:18,0,1,0,0
5563,2024-11-02 08:16:35,0,1,0,0
5564,2024-11-02 08:16:54,0,1,0,0
5565,2024-11-02 08:34:39,1,0,0,0
5566,2024-11-02 08:43:48,1,0,0,0
5567,2024-11-02 08:47:00,1,0,0,0
5568,2024-11-02 08:49:31,1,0,0,0
5569,2024-11-02 08:54:40,1,0,0,0
5570,2024-11-02 09:00:36,1,0,0,0
5571,2024-11-02 09:02:12,1,0,0,0
5572,2024-11-02 09:07:01,1,0,0,0
5573,2024-11-02 09:08:12,1,0,0,0
5574,2024-11-02 09:16:32,0,1,0,0
5575,2024-11-02 09:17:43,1,0,0,0
5576,2024-11-02 09:21:23,0,1,0,0
5577,2024-11-02 09:22:18,1,0,0,0
5578,2024-11-02 09:22:50,1,0,0,0
5579,2024-11-02 09:27:15,1,0,0,0
5580,2024-11-02 09:32:45,1,0,0,0
5581,2024-11-02 09:36:40,1,0,0,0
5582,2024-11-02 09:39:30,1,0,0,0
5583,2024-11-02 09:41:43,1,0,0,0
5584,2024-11-02 09:42:18,0,1,0,0
5585,2024-11-02 09:42:27,0,1,0,0
5586,2024-11-02 09:42:47,0,1,0,0
